job_title,company,location,job_summary,post_date,today
Developer Support Engineer,BreakThru,Karachi,Experience in software development .NET (C#). We are seeking experienced Developer Support Engineer for our Development department.,24 days ago,2021-01-25
AWS Cloud Engineer,Minerva Resource Group,Karachi,"We are a software consulting firm in the United States. The AWS Senior Engineer will drive high priority customer initiatives, leveraging AWS to solve the…",7 days ago,2021-01-25
Senior ReactJS Developer,Rainsoft Financials Pvt. Ltd,Karachi,"As a senior software engineer, you will be expected to share and mentor other engineers on best practices. As a Senior React Developer, you will be developing…",2 days ago,2021-01-25
Software Engineer - Platform,KeepTruckin,Karachi,"3+ years software development experience. As a Software Engineer on the Platform team, you will play an active role in building backend components and…",10 days ago,2021-01-25
Azure Cloud Engineer,Rainsoft Financials Pvt. Ltd,Karachi,"Rainsoft Financials Pvt Ltd is looking for an experienced and enthusiastic Azure Cloud Engineer to collaborate with our software engineers, QA Analysts, and…",9 days ago,2021-01-25
Software Engineer,92 Techno,Karachi,We are looking for a software engineer in Karachi having experience of developing a web-based business application.,30+ days ago,2021-01-25
Senior Network Engineer,Afiniti,Karachi,"In addition, the Network Engineer will participate with the installation, monitoring, maintenance, support, and optimization of all network hardware, software,…",30+ days ago,2021-01-25
SOFTWARE DEVELOPMENT MANAGER.,NEXUS CORPORATION,Karachi,"Guide, coach and mentor software development engineers. Establish and stimulate software development standards and processes along with best practices for…",30+ days ago,2021-01-25
DevOps Engineer,Minerva Resource Group,Karachi,We are a software consulting firm in the United States. We are expanding our footprint to Pakistan and are excited to create a new team that will directly work…,7 days ago,2021-01-25
QA Engineer,KeepTruckin,Karachi,Ability to understand Software Design Specifications. 2+ years of experience in Software Testing. This is a cross-functional role that partners with our Product…,10 days ago,2021-01-25
Lead Software Engineer (JavaScript),Folio3 Software,Karachi,Looking for full time Lead Software Engineer – JavaScript with 7+ years of relevant experience.Must Have: BS in Computer Science from a reputable university.,30+ days ago,2021-01-25
Lead Software Engineer – JavaScript (Multiple opportunities),Folio3 Software,Karachi,At least 7 to 8 years of experience developing and maintaining web applications • BS in Computer Science Engineering from a reputable university • Excellent…,30+ days ago,2021-01-25
Senior Linux Engineer - Mellanox Technologies,Afiniti,Karachi,"The Senior Engineer will be responsible for the management of Mellanox products including Network Switches, Routers and Intelligent NICs firmware and software…",19 days ago,2021-01-25
Sprinkler System Designer,KMNR Engineering,Karachi,We are seeking candidates to fill a Sprinkler Design Engineer position which is ideally suitable for BE Mechanical Engineer or DAE (Mechanical).,30+ days ago,2021-01-25
iOS Developer,Novus Altair Ltd.,Karachi,3+ years of professional experience working as an iOS developer in a software house. 5+ years of professional experience working as an iOS developer in a…,30+ days ago,2021-01-25
Manager Fleet and Workshop,The Aman Foundation,Karachi,"Tech/ D.A.E, preferably an automobile engineer, with 7+ years of relevant industry experience. Incumbent should be computer literate with knowledge of IT based…",30+ days ago,2021-01-25
Software Development Engineer in Test,KeepTruckin,Karachi,"KeepTruckin is on a mission to modernize the trucking industry. With the leading fleet management platform, we are bringing trucks online and fundamentally…",9 days ago,2021-01-25
IT Engineer,Hasnain Tanweer Associates (HTA),Karachi,Managing software installation and monitoring. Managing vendor coordination and remote engineers coordination. Regulating tickets monitoring and daily incident.,30+ days ago,2021-01-25
Electrician & Electrical Engineer,Hasnain Tanweer Associates (HTA),Karachi,Proficiency in Program Logic Control (PLC operation & associated software. Kindly mention the job title Electrician & Electrical Engineer in the email.,30+ days ago,2021-01-25
Service Desk Support Engineer,Contour Software,Karachi,"Perseus, an operating group of Constellation Software Inc., acquires, manages, and builds software businesses which provide specialized, mission-critical…",30+ days ago,2021-01-25
Application Security Engineer,Afiniti,Karachi,"Software development experience across multiple technology stacks and languages. Ensure all software development teams are aware of, and following the Afiniti…",30+ days ago,2021-01-25
Software Engineer - Frontend,KeepTruckin,Karachi,"Communicate with backend engineers about API requirements and refinements. Understands agile software development process, and is comfortable using CSS…",10 days ago,2021-01-25
Senior Software Engineer (PHP),Folio3 Software,Karachi,Looking for full time Senior Software Engineer (PHP) with 3 to 5 years of relevant experience.Must Have: Bachelors degree in Computer Science or equivalent.,30+ days ago,2021-01-25
Mechanical/Electrical REVIT Designer/Engineer,KMNR Engineering,Karachi,"Candidates should possess excellent mechanical (or electrical) building services design using AutoDesk REVIT Building Information Modelling (BIM) software, and…",30+ days ago,2021-01-25
Unity 3D Virtual Tour Developer,IT Verticals Inc,Karachi,Strong understanding of SVN or related version control software. Work with engineers and other team members to architect and scope feature details.,13 days ago,2021-01-25
Front-end Designer & Developer (React JS),Appicoders Inc,Karachi,Understands the agile software development process. Communicate with backend engineers about API requirements and refinements. Knowledge of JSON is a plus.,5 days ago,2021-01-25
Network Program Architect,Afiniti,Karachi,"In addition, the Network Engineer will participate with the installation, monitoring, maintenance, support, and optimization of all network hardware, software,…",30+ days ago,2021-01-25
iOS developer,BSQP Tech,Karachi,"We are looking for a Software Engineer (iOS) to work with our team of talented engineers, to design and build the next generation mobile applications in a…",30+ days ago,2021-01-25
Business Reporting,Afiniti,Karachi,"The ETL/Data Engineer will be involved in the design, development, testing and deployment of ETL jobs built using Talend/SSIS/T-SQL and MySQL.",30+ days ago,2021-01-25
iOS Developer,Tixsee Labs LLC,Karachi,"Handle software updates, patches, and bug fixes. Currently, we are looking for an iOS developer who possesses a passion for pushing mobile technologies to the…",10 days ago,2021-01-25
Front-End Developer,BreakThru,Karachi,Up-to-date knowledge of design software like Adobe Illustrator and Photoshop. Gather and evaluate user requirements in collaboration with product managers and…,24 days ago,2021-01-25
Sales Executive,Mushko Electronics,Karachi,Preferably 3-4 years of experience in Surveying and Engineer. Knowledge of Survey equipment (Hardware & Software) along with configuration expertise and Survey…,30+ days ago,2021-01-25
Assistant Manager Data Annotator,KeepTruckin,Karachi,"Comfortable with SQL, learning new software tools, and deep diving into our data lake. This role will require extensive collaboration with RnD Engineers working…",Just posted,2021-01-25
SQA Analyst,Contour Software,Karachi,Assist software developers in designing test cases. Assist with software deployments and validation in QA and production environments.,2 days ago,2021-01-25
Graphic Designer UI/UX,Technado (Pvt) Ltd,Karachi,Up-to-date knowledge of design software like Adobe Illustrator and Photoshop. Gather and evaluate user requirements in collaboration with product managers and…,11 days ago,2021-01-25
iOS Developer,CodeLabs,Karachi,"Degree in a technical discipline (Computer Science, Computer Engineer or other field with relevant research). We are looking to hire a talented iOS Developer to…",9 days ago,2021-01-25
Sr. Frontend Engineer,Bykea,Karachi,Must have 5+ years of software engineering industry experience in frontend web development. We will also expect you to champion sound frontend standards to…,30+ days ago,2021-01-25
Sr. Laravel Developer,Jagah Online,Karachi,"Be a good database engineer, who will be able to develop complex SQL commands. Collaborate with the team in all the phases of the software development cycle.",30+ days ago,2021-01-25
Technical Consultant,NCR,Karachi,"Proven experience as a Software Developer, Software Engineer or similar role. Position responsible for software effort scoping, design, implementation, testing,…",2 days ago,2021-01-25
Embedded QA Engineer,KeepTruckin,Karachi,"2+ years of experience in Software Testing. Reporting to the Senior Embedded QA Engineer, you will oversee the quality of our flagship product.",10 days ago,2021-01-25
Senior Software Engineer - Backend,KeepTruckin,Karachi,"8+ years of software development experience. Software Engineer, you will be a part of a team who can turn product ideas into reality by designing components and…",10 days ago,2021-01-25
UI/UX Designer,Intelligenes,Karachi,"Up-to-date knowledge of design software like Sketch, Figma and Zeplin. Gather and evaluate user requirements in collaboration with product managers and…",10 days ago,2021-01-25
Software Engineer II (Frontend),Careem,Karachi,"Work closely with other engineers on the team to build highly scalable and robust progressive web applications. React (preferable), Angular or Vue.",30+ days ago,2021-01-25
Senior Android Developer,FOURGEN Information Systems,Karachi,"We are looking for a Software Engineer (Android) who will work in a team environment for the mobile domain, and will execute seamless mobile products.",11 days ago,2021-01-25
Senior QA Engineer,Folio3 Software,Karachi,Looking for full time Senior QA Engineer with 3 to 5 years of relevant experience.Must Have: BS in Computer Science from a reputable university.,30+ days ago,2021-01-25
Senior Node.js Developer,Kerlo Research,Karachi,We are looking for an experienced Software Engineer / Backend developer for enhancing and extending our in-house clinical trial applications and infrastructure.,12 days ago,2021-01-25
Senior Software Engineer (iOS + Android),Folio3 Software,Karachi,Looking for full time Senior Software Engineer – (iOS + Android) with 3+ years of relevant experience.Must Have:,30+ days ago,2021-01-25
Principal Software Engineer (.Net),360training Com Inc,Karachi,"Mentor and stimulate growth for other software engineers. 360training is seeking a Principal Software Engineer to join our growing team in Karachi, Pakistan.",30+ days ago,2021-01-25
Senior Software Engineer (PHP),Golpik,Karachi,Software Engineer (PHP) for its Karachi based office. 5-10 years of experience as a Software Engineer PHP. Golpik is looking for Senior level resource as Sr*.,7 days ago,2021-01-25
QA Tech Lead,KeepTruckin,Karachi,"Provide product and technical insight, organizational perspective and technical leadership to the software engineers especially during onboarding.",10 days ago,2021-01-25
"business development executive,Mern-stack,content writers",Experia,Karachi,Experia has multiple open positions for Senior Software Engineers. Think outside the box and take your career to the next level!,10 days ago,2021-01-25
Dot Net Developer,SpurSol,Karachi,BS or MS in Software Engineer/ Computer Science or equivalent. Must have 3 to 4 years software development experience on Asp.net webforms and web APIs.,2 days ago,2021-01-25
Software Engineer - Backend,KeepTruckin,Karachi,"2+ years software development experience. As a Software Product Engineer, you will play an active part in building features, components, frameworks and services…",10 days ago,2021-01-25
Senior Software Engineer (React JS),Folio3 Software,Karachi,We are looking for a great JavaScript developer who is proficient with React.js. Your primary focus will be on developing user interface components and…,30+ days ago,2021-01-25
Technical Program Manager,KeepTruckin,Karachi,"Experience with project management software (such as JIRA). Coach engineers, PMs and leads on effective processes and best practices.",12 days ago,2021-01-25
Senior Lead PHP Developer,Golpik,Karachi,8 years of experience as a Software Engineer PHP. Golpik is looking for Senior level resource as Sr. PHP Developer *for its Karachi based office.,2 days ago,2021-01-25
UX/UI Designer,Phoenix Technologies,Karachi,Up-to-date knowledge of design software like Adobe Illustrator and Photoshop. Gather ad evaluate user requirements in collaboration with product managers and…,30+ days ago,2021-01-25
Senior Technical Lead,NexDegree,Karachi,"Manage software engineers designing and developing enterprise-level solutions by providing technical advice, coaching, and direction.",30+ days ago,2021-01-25
Web Developer,KeepTruckin,Karachi,Communicate with backend engineers about API requirements and refinements. You would be responsible for implementing the user interface and engineer the…,10 days ago,2021-01-25
Senior Project Manager/Project Manager,Folio3 Software,Karachi,1+ years of software engineer or QA experience in initial stage. Looking for full time Senior Project Manager/Project Manager with 7+ years of relevant…,30+ days ago,2021-01-25
Lead Mobile Developer,Novus Altair Ltd.,Karachi,"Experience in leading other developers to produce desired software. Work collaboratively in cross-functional teams to develop fully working, tested and deployed…",30+ days ago,2021-01-25
Cloud Network Engineer,Contour Software,Karachi,"Excellent software and network troubleshooting experience. The cloud network engineer performs various functions, which include providing operational input and…",30+ days ago,2021-01-25
DevOps Engineer,Contour Software,Karachi,Experience working with software installation/upgrading procedures. 2 years of experience as a DevOps Engineer with previous experience as a Software Developer…,30+ days ago,2021-01-25
Senior PHP (Laravel) Developer,WP Coders,Karachi,BS (Computer Science) and software Engineer or relevant field; Is equipped with a professional team that is proficient in providing digital solutions to…,30+ days ago,2021-01-25
LiveOps Engineer,Contour Software,Karachi,"We are looking for a LiveOps Engineer to work out of the Contour Software Karachi resource center office, as an extension of the division-based R&D department.",30+ days ago,2021-01-25
Software Developer,Hasnain Tanweer Associates (HTA),Karachi,Software Engineers having Bachelors or Masters degree with 2 to 3 years of relevant experience in software development apply now.,30+ days ago,2021-01-25
"Salesforce Consultant, Software Engineer/Developer",Tectonic (Pakistan),Karachi,Understanding of software development methodologies. Working understanding of Agile software engineering processes and methodologies.,30+ days ago,2021-01-25
URGENT HIRING Angular Developer,Curogram,Karachi,3+ years of experience in software development. Optimize our web applications for maximum speed. Maintain and improve the company website.,13 days ago,2021-01-25
Senior Software Engineer - Frontend,KeepTruckin,Karachi,"Communicate with backend engineers about API requirements and refinements. Understands agile software development process, and is comfortable using CSS…",10 days ago,2021-01-25
Senior Back-End Developer,NexDegree,Karachi,"Working in an agile environment with a team of project managers, engineers, front end developers, QAs and Data Engineers.",30+ days ago,2021-01-25
Senior Technical Writer,digitonics labs,Karachi,"Collaborate with people from different backgrounds such as interaction designers, business designers, mechanical engineers, graphic designers, and design…",30+ days ago,2021-01-25
Senior Support Engineer,Contour Software,Karachi,"Experience with developing software utilizing Cloud-Computing providers (AWS desired). Be an advocate for, and participate in, Agile Development alongside other…",30+ days ago,2021-01-25
Female HR Generalist,MiniBigTech,Karachi,She must have knowledge of technical recruitment like software engineers and Graphic Designers etc. If a candidate has previous working experience in a software…,15 days ago,2021-01-25
Project Analyst,Contour Software,Karachi,"Assist Software Development team by filling out Stories and Tickets with correct and thorough details. Regularly, and actively, engage Engineers and Product…",25 days ago,2021-01-25
Android developer,BSQP Tech,Karachi,"We are looking for a Software Engineer (Android) to work with our team of talented engineers, to design and build the next generation mobile applications in a…",30+ days ago,2021-01-25
Senior iOS Developer,Novus Altair,Karachi,3+ years of professional experience working as an iOS developer in a software house. 5+ years of professional experience working as an iOS developer in a…,17 days ago,2021-01-25
Senior Software Developer,Contour Software,Karachi,"Experience with developing software utilizing Cloud-Computing providers (AWS desired). Be an advocate for, and participate in, Agile Development alongside other…",26 days ago,2021-01-25
Principal Software Engineer,360training Com Inc,Karachi,"Mentor and stimulate growth for other software engineers. 360training is seeking a Principal Software Engineer to join our growing team in Karachi, Pakistan.",30+ days ago,2021-01-25
Senior iOS Developer,digitonics labs,Karachi,BS/MS in Software Engineering or Computer Science from an accredited institution 2+ years of iOS development. Design and build applications for the iOS platform…,30+ days ago,2021-01-25
Senior Android Developer,Novus Altair Ltd.,Karachi,5+ years of professional experience working as an Android developer in a software house. Towards reaching our business goals we are establishing a software…,30+ days ago,2021-01-25
UI/UX (React JS) Developer,Appicoders Inc,Karachi,Understands the agile software development process. Communicate with backend engineers about API requirements and refinements. Knowledge of JSON is a plus.,30+ days ago,2021-01-25
Lead SQA Analyst,Contour Software,Karachi,"(a division of Constellation Software Inc.). Knowledge of version control software, such as Git. Experience with issue tracking software such as JIRA etc.",30+ days ago,2021-01-25
Senior Software Developer - Lead,Contour Software,Karachi,Guide develop and train software engineers. Improve existing software solutions with direction from ProShip's R&D department. Experience with VB6 is desired.,30+ days ago,2021-01-25
Senior/ Staff DevOps Engineer (SecOps),10Pearls,Karachi,"Our broad expertise in product management, user experience/design, cloud architecture, software development, data insights and intelligence, cyber security ,…",30+ days ago,2021-01-25
Senior Python Developer,KeepTruckin,Karachi,"3+ years experience in Software engineering. As a Senior Software Engineer, you will be a part of a team who can turn product ideas into reality by designing…",10 days ago,2021-01-25
Senior SQA Analyst - Team Lead,Contour Software,Karachi,"Sound knowledge of Software Development Life Cycle (SDLC). Trapeze North America, a division of Constellation Software Inc., provides enterprise solutions that…",30+ days ago,2021-01-25
