product_name,wine_type,flavor,location,available_qty
Вино Duruji Valley Saperavi Qvevri 0.75 л,"Красное,  Сухое",,,В наличии 4 шт.
"Вино Mildiani, Akhasheni 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Ахашени",В наличии 3 шт.
"Вино Two Oceans Cabernet Sauvignon / Merlot, Южная Африка Distell 2013 0.75 л","Красное,  Полусухое","Мерло,  Каберне Совиньон","ЮАР,  Вестерн Кейп",В наличии 3 шт.
"Вино Rondone Nerello Mascalese, Terre Siciliane 2018 0.75 л","Красное,  Полусухое",Нерелло Маскалезе,"Италия,  Сицилия",В наличии 3 шт.
Вино Duruji Valley Kindzmarauli Kakheti 2017 0.75 л,"Красное,  Полусладкое","Грузия,  Кахетия",,В наличии 3 шт.
Вино Шато Тамань Гранд Селект Руж 0.75 л,"Красное,  Сухое","Пино Нуар,  Сира,  Красностоп Анапский,  Саперави","Россия,  Краснодарский край",В наличии 3 шт.
"Вино Fortius Crianza Tempranillo, Navarra DO 2016 0.75 л","Красное,  Сухое","Темпранильо,  Каберне Совиньон","Испания,  Наварра",В наличии 3 шт.
"Вино Marchese Montefusco Merlot, Sicilia IGT 2016 0.75 л","Красное,  Сухое",Мерло,"Италия,  Сицилия",В наличии 3 шт.
"Вино Faustino VII, Rioja DOC 2018 0.75 л","Красное,  Сухое","Масуэло,  Темпранильо","Испания,  Риоха,  Риоха Альта",В наличии 3 шт.
"Вино Viu Manent, Estate Collection Reserva Carmenere 0.75 л","Красное,  Сухое","Мальбек,  Сира,  Карменере","Чили,  Центральная Долина,  Кольчагуа",В наличии 3 шт.
"Вино Viu Manent, Estate Collection Reserva Merlot 0.75 л","Красное,  Сухое","Мерло,  Сира,  Мальбек","Чили,  Центральная Долина,  Кольчагуа",В наличии 3 шт.
Вино Jacob's Creek Shiraz Cabernet Sauvignon Classic 0.75 л,"Красное,  Полусухое","Шираз,  Каберне Совиньон","Австралия,  Юго-Восточная Австралия",В наличии 3 шт.
"Вино Golubitskoe Estate, Merlot 2018 0.75 л","Красное,  Сухое",Мерло,"Россия,  Краснодарский край",В наличии 2 шт.
"Вино Kindzmarauli, Грузия Metreveli 2017 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия",В наличии 2 шт.
"Вино Tiefenbrunner, RedRosso 2012 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон,  Терольдего","Италия,  Трентино-Альто Адидже,  Альто Адидже",В наличии 2 шт.
"Вино Settesoli, Rondone Nero d'Avola, Sicilia 2018 0.75 л","Красное,  Сухое",Неро д'Авола,"Италия,  Сицилия",В наличии 2 шт.
"Вино Podere Montepulciano d'Abruzzo, Umani Ronchi 2018 0.75 л","Красное,  Сухое",Монтепульчано,"Италия,  Абруццо",В наличии 2 шт.
"Вино Bellingham, Big Oak Red 2016 0.75 л","Красное,  Сухое","Шираз,  Каберне Совиньон","ЮАР,  Прибрежный регион",В наличии 2 шт.
"Вино Bodegas Aragonesas, Don Ramon, Campo de Borja DO 2017 0.75 л","Красное,  Сухое","Гренаш/Гарнача,  Темпранильо","Испания,  Арагон,  Кампо-де-Борха",В наличии 2 шт.
Вино Ликурия Резерв красное 2015 0.75 л,"Красное,  Сухое","Шираз,  Мерло","Россия,  Краснодарский край",В наличии 2 шт.
Вино Mastro Binelli Gutturnio Superiore DOC 0.75 л,"Красное,  Сухое","Бонарда,  Барбера","Италия,  Эмилия-Романья",В наличии 2 шт.
"Вино Viu Manent, Estate Collection Reserva Cabernet Sauvignon 2017 0.75 л","Красное,  Сухое","Каберне Совиньон,  Сира","Чили,  Центральная Долина,  Кольчагуа",В наличии 2 шт.
Вино Sanvigilio Merlot 2017 0.75 л,"Красное,  Сухое",Мерло,"Италия,  Трентино-Альто Адидже,  Альто Адидже",В наличии 2 шт.
"Вино KWV, Pearly Bay Dry Red 0.75 л","Красное,  Сухое","Каберне Совиньон,  Пинотаж,  Шираз,  Сенсо,  Мерло","ЮАР,  Западный Кейп",В наличии 2 шт.
"Вино Bodegas Ramon Bilbao, Crianza, Rioja DOC 2015 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Риоха,  Риоха Альта",В наличии 2 шт.
"Вино Duca di Salaparuta, Corvo Rosso IGT 0.75 л","Красное,  Сухое","Нерелло Маскалезе,  Неро д'Авола","Италия,  Сицилия",В наличии 2 шт.
"Вино Villa Pampini, Sangiovese-Merlot, Rubicone IGT 0.75 л","Красное,  Сухое","Мерло,  Санджовезе","Италия,  Эмилия-Романья,  Рубиконе",В наличии 2 шт.
"Вино Shalvino, Kindzmarauli 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Киндзмараули",В наличии 1 шт.
"Вино Domaine Bousquet, Cameleon Malbec 2019 0.75 л","Красное,  Сухое",Мальбек,"Аргентина,  Мендоса,  Долина Тупунгато",В наличии 1 шт.
Вино Markov Manastir Macedonian Red 0.75 л,"Красное,  Полусладкое","Вранац,  Пино Нуар",Македония,В наличии 1 шт.
"Вино Frog's Return Rouge, Cite de Carcassonne IGP 0.75 л","Красное,  Полусухое","Каладок,  Кариньяно","Франция,  Юго-запад Франции,  Гасконь",В наличии 1 шт.
Вино Alma Valley Cabernet Sauvignon 2016 0.75 л,"Красное,  Сухое",Каберне Совиньон,Крым,В наличии 1 шт.
"Вино Dionysos Wines, Greek Art Red Semi-Sweet 0.75 л","Красное,  Полусладкое","Агиоргитико,  Родитис белый,  Мавроуди,  Мандилария",Греция,В наличии 1 шт.
Вино Амфитрион Лимитед Пино Нуар 0.75 л,"Красное,  Сухое",Пино Нуар,"Россия,  Кубань",В наличии 1 шт.
"Вино TINI Rosso, Terre Siciliane 0.75 л","Красное,  Сухое",Красные сорта винограда,"Италия,  Сицилия",В наличии 1 шт.
Вино Пино Нуар де Гай-Кодзор 0.75 л,"Красное,  Сухое",Пино Нуар,"Россия,  Краснодарский край,  Гай-Кодзор",В наличии 1 шт.
Вино Терруар де Гай-Кодзор 0.75 л,"Красное,  Сухое","Мальбек,  Сира,  Мурведр,  Гренаш/Гарнача","Россия,  Краснодарский край,  Гай-Кодзор",В наличии 1 шт.
"Вино Golubitskoe Estate, Pinot Noir Reserve 2017 0.75 л","Красное,  Сухое",Пино Нуар,"Россия,  Краснодарский край",В наличии 1 шт.
"Вино Santi, Vigneto Ca' Bordenis Bardolino Classico DOC 2017 0.75 л","Красное,  Сухое","Рондинелла,  Корвина,  Молинара","Италия,  Венето,  Бардолино",В наличии 1 шт.
"Вино Marchese Montefusco Nero d'Avola, Sicilia IGT 0.75 л","Красное,  Сухое",Неро д'Авола,"Италия,  Сицилия",В наличии 1 шт.
"Вино J. P. Chenet, Cabernet-Syrah, Pays d'Oc IGP 0.187 л","Красное,  Полусухое","Каберне Совиньон,  Сира","Франция,  Лангедок-Руссийон",В наличии 1 шт.
Вино Taso Real Tempranillo Semi-Sweet VdT 0.75 л,"Красное,  Полусладкое",Темпранильо,"Испания,  Кастилия Ла Манча",В наличии 1 шт.
Wine Amphitrion Cabernet Franc-Cabernet Sauvignon 0.75 L,"Red,  Dry","Cabernet Franc,  Cabernet Sauvignon","Russia,  Krasnodar region,  Krymsk",
"Wine Vina Maipo, Carmenere / Cabernet Sauvignon 2016 0.75 l","Red,  Semi-dry","Carmenere,  Cabernet Sauvignon","Chile,  Central Valley,  Maipo Valley",
"Wine Cielo e Terra, Cabernet Sauvignon IGT 2019 0.75 L","Red,  Semi-dry",Cabernet Sauvignon,"Italy,  Veneto,  Venice",
Wine Steakwine Malbec 2020 0.75l,"Red,  Semi-dry",Malbec,"Argentina,  Mendoza",
Вино Steakwine Cabernet Sauvignon 2020 0.75 л,"Красное,  Полусухое",Каберне Совиньон,"Аргентина,  Мендоса",
Вино Condor Peak Cabernet Sauvignon 2020 0.75 л,"Красное,  Сухое",Каберне Совиньон,"Аргентина,  Мендоса",
Вино Culemborg Cape Red 2020 0.75 л,"Красное,  Сухое","Шираз,  Сенсо,  Каберне Совиньон","ЮАР,  Западный Кейп",
"Вино Santa Carolina, Estrellas Carmenere 2018 0.75 л","Красное,  Сухое",Карменере,"Чили,  Центральная Долина,  Долина Рапель",
"Вино Canti, Merlot, Terre Siciliane IGT 2019 0.75 л","Красное,  Сухое",Мерло,"Италия,  Сицилия",
"Вино Dos Caprichos Joven, Rioja DOC 2019 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Риоха",
Вино Gato Negro Carmenere 2020 0.75 л,"Красное,  Сухое","Карменере,  Сира","Чили,  Центральная Долина",
"Вино Trapiche, Malbec 2020 0.75 л","Красное,  Сухое",Мальбек,"Аргентина,  Мендоса,  Лухан де Куйо",
"Вино Cielo e Terra, Pinot Noir IGT delle Venezie 2018 0.75 л","Красное,  Полусухое",Пино Нуар,"Италия,  Венето,  Венеция",
"Вино Conti Serristori, Chianti DOCG 2019 0.375 л","Красное,  Сухое","Брунелло,  Санджовезе Гроссо,  Красные сорта винограда","Италия,  Тоскана,  Кьянти",
"Вино Cielo e Terra, Merlot IGT 2019 0.75 л","Красное,  Полусухое",Мерло,"Италия,  Венето,  Венеция",
Вино Folio Valpolicella DOC 2019 0.75 л,"Красное,  Сухое","Молинара,  Рондинелла,  Корвина","Италия,  Венето,  Вальполичелла",
"Вино Recital Cabernet Sauvignon, Pays d'Oc 2018 0.75 л","Красное,  Сухое",Каберне Совиньон,"Франция,  Лангедок-Руссийон",
"Вино Folio Nero d'Avola, Sicilia DOC 2018 0.75 л","Красное,  Сухое","Италия,  Сицилия",,
Вино Folio Bardolino DOC 2019 0.75 л,"Красное,  Сухое","Молинара,  Рондинелла,  Корвина","Италия,  Сицилия",
"Вино Chateau Los Boldos, Tradition Reserve Cabernet Sauvignon 2020 0.75 л","Красное,  Сухое",Каберне Совиньон,"Чили,  Долина Качапоаль",
"Вино Chateau Los Boldos, Tradition Reserve Merlot 0.75 л","Красное,  Сухое",Мерло,"Чили,  Долина Качапоаль",
"Вино Besini, Alazani Valley Red 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино San Telmo, Malbec 0.187 л","Красное,  Сухое",Мальбек,"Аргентина,  Мендоса",
"Вино Aspi, Vivo Greto Rosso Secco 0.75 л","Красное,  Сухое",Красные сорта винограда,Италия,
Вино Esse Merlot Selected 0.75 л,"Красное,  Сухое",Мерло,Крым,
Вино Mi Tas Red Semi-Sweet 0.75 л,"Красное,  Полусладкое","Кахет,  Ахтанак,  Арени","Армения,  Араратская долина",
Вино La vieille Tour Rouge Moelleux 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Россия,  Краснодарский край",
Вино Villa Felice Rosso Secco 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Россия,  Краснодарский край",
"Вино Tour de Mandelotte Bio, Bordeaux AOC 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
Вино Tour de Mandelotte Bordeaux AOC Rouge 0.375 л,"Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
"Вино The Lindsay Collection, Boundary Rider Merlot 0.75 л","Красное,  Сухое",Мерло,"Австралия,  Южная Австралия",
Вино Шуми Киндзмараули 0.75 л,"Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Киндзмараули",
Вино Terra Vega Reserva Shiraz 0.75 л,"Красное,  Сухое",Шираз,"Чили,  Центральная Долина,  Кольчагуа",
"Вино Fior di Sole, Adulation Zinfandel 2018 0.75 л","Красное,  Полусухое",Зинфандель,"США,  Калифорния",
Вино Шуми Саперави 0.75 л,"Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Belleville Rouge, Bordeaux AOC 0.75 л","Красное,  Сухое","Каберне Фран,  Мерло","Франция,  Бордо",
"Вино Botter, Prima Alta Chianti DOCG 0.75 л","Красное,  Сухое","Мальвазия,  Канайоло,  Санджовезе","Италия,  Тоскана,  Кьянти",
"Вино Vinispa, Portobello Merlot Trevenezie IGT 2019 0.75 л","Красное,  Полусладкое",Мерло,"Италия,  Венето,  Венеция",
"Вино Tinazzi, Borgo al Sole Tinto Amabile 0.75 л","Красное,  Полусладкое",Красные сорта винограда,"Италия,  Венето",
Вино Los Santos Tempranillo Dry 0.75 л,"Красное,  Сухое",Темпранильо,"Испания,  Кастилия Ла Манча",
"Вино Luis Felipe Edwards, Nucos Rapaz Cabernet Sauvignon 0.75 л","Красное,  Сухое","Гарнача Тинторерра,  Каберне Совиньон","Чили,  Центральная Долина",
"Вино Vie d'Amour Merlot Reserva, Pays d'Oc IGP 0.75 л","Красное,  Сухое",Мерло,"Франция,  Лангедок-Руссийон",
"Вино Vie d'Amour Cabernet Sauvignon Reserva, Pays d'Oc IGP 0.75 л","Красное,  Сухое",Каберне Совиньон,"Франция,  Лангедок-Руссийон",
"Вино Moonrise Carmenere, Valle Central DO 0.1875 л","Красное,  Сухое",Карменере,"Чили,  Центральная Долина",
"Вино Santa Luz, Alba Pinot Noir 0.75 л","Красное,  Сухое",Пино Нуар,"Чили,  Центральная Долина",
"Вино Santa Luz, Alba Carmenere 0.75 л","Красное,  Сухое",Карменере,"Чили,  Центральная Долина",
"Вино Trivento, Terralis Shiraz-Malbec 0.75 л","Красное,  Сухое","Шираз,  Мальбек","Аргентина,  Мендоса",
Вино Openers Cabernet Sauvignon 0.75 л,"Красное,  Полусухое",Каберне Совиньон,"ЮАР,  Западный Кейп",
Вино Terra Vega Gran Reserva Shiraz 0.75 л,"Красное,  Сухое",Шираз,"Чили,  Центральная Долина,  Кольчагуа",
"Вино Undurraga, Sibaris Carmenere Gran Reserva, Valle de Colchagua DO 2018 0.75 л","Красное,  Сухое",Карменере,"Чили,  Центральная Долина,  Кольчагуа",
"Вино Piccini, Chianti DOCG 2019 0.75 л","Красное,  Сухое","Чильеджоло,  Канайоло,  Санджовезе","Италия,  Тоскана,  Кьянти",
"Вино Calvet, Selection des Princes Bordeaux АОP Rouge 2019 0.75 л","Красное,  Сухое",Каберне Совиньон и Мерло,"Франция,  Бордо",
"Вино Cheval Quancard, Bordeaux AOC 2018 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
"Вино Nicosia, Nero Nero d'Avola, Sicilia DOC 2018 0.75 л","Красное,  Сухое","Италия,  Сицилия",,
"Вино Calvet, Chateau Mauriac, Bordeaux AOC 0.75 л","Красное,  Сухое","Каберне Совиньон и Каберне Фран,  Мерло","Франция,  Бордо,  Бордо Сюпериёр",
"Вино Berton Vineyards, Cabernet Sauvignon 2019 0.75 л","Красное,  Сухое",Каберне Совиньон,"Австралия,  Южная Австралия,  Долина Иден",
"Вино Masi, Modello Rosso, Trevenezie IGT 2019 0.75 л","Красное,  Полусухое","Рабозо,  Рефоско,  Красные сорта винограда","Италия,  Венето,  Венеция",
"Вино Piccini, Origines Italicae Negroamaro Appassimento, Puglia IGT 2019 0.75 л","Красное,  Полусухое",Негроамаро,"Италия,  Апулия",
"Вино Cono Sur, Tocornal Merlot, Central Valley DO 2020 0.75 л","Красное,  Полусухое",Мерло,"Чили,  Центральная Долина,  Долина Рапель",
"Вино Cono Sur, Tocornal Carmenere, Central Valley DO 2020 0.75 л","Красное,  Полусухое",Карменере,"Чили,  Центральная Долина",
"Вино Natale Verga, Il Gaggio Barbera, Piemonte DOC 2019 0.75 л","Красное,  Сухое",Барбера,"Италия,  Пьемонт",
"Вино Natale Verga, Il Gaggio Nero d'Avola, Sicilia DOC 2019 0.75 л","Красное,  Сухое","Италия,  Сицилия",,
"Вино Natale Verga, Il Gaggio Cabernet Sauvignon, Veneto IGT 2019 0.75 л","Красное,  Сухое",Каберне Совиньон,"Италия,  Венето",
"Вино Murviedro, Gran Castillo, Cabernet Sauvignon, Valencia DOP 0.75 л","Красное,  Сухое",Каберне Совиньон,"Испания,  Валенсия",
"Вино Las Moras, Intis Merlot-Malbec, San Juan 2020 0.75 л","Красное,  Сухое","Мальбек,  Мерло","Аргентина,  Сан-Хуан",
"Вино Berton Vineyard, Outback Jack Shiraz Merlot 2020 0.75 л","Красное,  Сухое","Шираз,  Мерло","Австралия,  Южная Австралия,  Долина Иден",
"Вино Berton Vineyards, Outback Jack Cabernet Merlot 2019 0.75 л","Красное,  Сухое",Каберне Совиньон и Мерло,"Австралия,  Южная Австралия,  Долина Иден",
"Вино La Fogliata Negroamaro, Salento IGT 2019 0.75 л","Красное,  Сухое",Негроамаро,"Италия,  Апулия,  Саленто",
"Вино Chateau de Terrefort-Quancard, Bordeaux Superieur AOC 2018 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо,  Бордо Сюпериёр",
Вино Вино-Еда Каберне Сухое 0.75 л,"Красное,  Сухое",Каберне Совиньон,"Россия,  Краснодарский край",
Вино Вино-Еда Каберне Полусладкое 0.75 л,"Красное,  Полусладкое",Каберне Совиньон,"Россия,  Краснодарский край",
"Вино Ливадия, Кадарка, Тетра Пак 1 л","Красное,  Полусладкое",Красные сорта винограда,"Крым,  Ялта",
Вино AV cuvee Pinot Noir-Kefesiya-Merlot 2017 0.75 л,"Красное,  Сухое","Кефесия,  Пино Нуар,  Мерло",Крым,
Вино AV cuvee Cabernet Sauvignon-Merlot-Saperavi 2017 0.75 л,"Красное,  Сухое","Саперави,  Мерло,  Каберне Совиньон",Крым,
Вино The Lines Saperavi-Krasnostop-Tsimlyansky Cherny 0.75 л,"Красное,  Сухое","Красностоп Золотовский,  Саперави,  Цимлянский черный","Россия,  Краснодарский край",
"Вино Weinkellerei Hechtsheim, Ernst Ludwig Pinot Noir Dry, Rheinhessen QbA 2018 0.75 л","Красное,  Сухое",Пино Нуар,"Германия,  Рейнхессен",
Вино Alma X Merlot-Cabernet Sauvignon 2018 0.75 л,"Красное,  Сухое","Мерло,  Каберне Совиньон",Крым,
Вино Alma X Cabernet Sauvignon-Saperavi 2018 0.75 л,"Красное,  Сухое","Саперави,  Каберне Совиньон",Крым,
"Вино Kindzmarauli Marani, Kvareli 2019 0.75 л","Красное,  Сухое","Будешури,  Саперави","Грузия,  Кахетия,  Киндзмараули",
"Вино Fanagoria, Fine Select Merlot 0.75 л","Красное,  Полусладкое",Мерло,"Россия,  Краснодарский край",
Вино Золото Тамани Каберне сухое 0.7 л,"Красное,  Сухое",Каберне Совиньон,"Россия,  Краснодарский край",
"Вино Шато Тамань, Красностоп 0.75 л","Красное,  Сухое",Красностоп Анапский,"Россия,  Краснодарский край",
"Вино Кварельский Погреб, Киндзмараули 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Киндзмараули",
Вино Сады Тавриды Красное Сухое 0.75 л,"Красное,  Сухое",Красные сорта винограда,Крым,
"Вино Natale Verga, Fiorino d'Oro Rosso Secco 0.7 л","Красное,  Сухое",Красные сорта винограда,Россия,
Вино Ланце Красное Сухое 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Россия,  Краснодарский край",
"Вино Sella & Mosca, I Piani Rosso, Isola dei Nuraghi IGT 0.75 л","Красное,  Сухое","Каннонау,  Кариньяно,  Санджовезе","Италия,  Сардиния,  Изола дей Нураги",
"Вино Farnese, Fantini Sangiovese, Terre di Chieti IGT 2017 0.75 л","Красное,  Полусухое",Санджовезе,"Италия,  Абруццо",
"Вино Шато Тамань Резерв, Красностоп 0.75 л","Красное,  Сухое",Красностоп Анапский,"Россия,  Краснодарский край",
"Вино Conde de Caralt, Vendimia Seleccionada, Catalunya DO 2013 0.75 л","Красное,  Сухое","Гарнача Тинторерра,  Монастрель,  Темпранильо","Испания,  Каталония",
Вино Каберне Солнечной Долины 0.75 л,"Красное,  Сухое",Каберне Совиньон,Крым,
Вино Гравитация Каберне Фран-Каберне Совиньон 0.75 л,"Красное,  Сухое",Каберне Совиньон и Каберне Фран,"Россия,  Краснодарский край",
"Вино Кубань-Вино, Вина Тамани Мерло 0.7 л","Красное,  Сухое",Мерло,"Россия,  Краснодарский край",
Вино Талавари Алазанская Долина Красное 0.75 л,"Красное,  Полусладкое","Оджалеши,  Муджуретули,  Александроули,  Саперави","Грузия,  Кахетия,  Алазанская долина",
Вино Джейран Шахдаг 0.75 л,"Красное,  Полусладкое",Матраса,Азербайджан,
Вино Джейран Чинар 0.75 л,"Красное,  Полусладкое","Матраса,  Саперави",Азербайджан,
Вино Джейран Тауз 0.75 л,"Красное,  Полусухое",Красные сорта винограда,Азербайджан,
Вино Джейран Гёкгель 0.75 л,"Красное,  Полусухое",Каберне Совиньон,Азербайджан,
"Вино Cavino, Ionos Red 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон",Греция,
"Вино Mezzacorona, Teroldego Rotaliano DOC 2017 0.75 л","Красное,  Полусухое",Терольдего,"Италия,  Трентино-Альто Адидже",
"Вино El Gringo Dark Red Tempranillo, Castilla Vdt 2018 0.75 л","Красное,  Полусухое",Темпранильо,"Испания,  Кастилия Ла Манча",
Вино Castel Firmian Teroldego Rotaliano DOC 2017 0.75 л,"Красное,  Полусухое",Терольдего,"Италия,  Трентино-Альто Адидже,  Альто Адидже",
"Вино Ramon Roqueta Garnacha, Catalunya DO 2013 0.75 л","Красное,  Сухое","Гарнача,  Гренаш","Испания,  Каталония",
"Вино Boutinot, Cuvee Jean-Paul Rouge, Vaucluse IGP 0.75 л","Красное,  Сухое","Гарнача,  Гренаш,  Сира","Франция,  Прованс,  Воклюз",
"Вино Alasia Barbera, Piemonte DOC 2018 0.75 л","Красное,  Сухое",Барбера,"Италия,  Пьемонт",
"Вино Greenfields Organic Pinotage, Western Cape WO 2018 0.75 л","Красное,  Сухое",Пинотаж,"ЮАР,  Западный Кейп",
"Вино Anciens Temps, Pays d'Herault IGP 0.75 л","Красное,  Сухое","Гарнача,  Гренаш,  Кариньяно","Франция,  Лангедок-Руссийон",
"Вино Vicente Gandia, Lirico Bobal-Cabernet Sauvignon, Valencia DO 0.75 л","Красное,  Сухое","Бобаль,  Каберне Совиньон","Испания,  Валенсия",
"Вино Bodegas Mano a Mano, Manon Tempranillo, Castilla La Mancha VdT 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Кастилия Ла Манча",
"Вино Cantine San Giorgio, Diodoro Primitivo di Manduria DOP 2013 0.75 л","Красное,  Сухое",Примитиво,"Италия,  Апулия,  Примитиво ди Мандурия",
"Вино Vega Moragona Bobal, Ribera del Jucar DO 0.75 л","Красное,  Сухое",Бобаль,"Испания,  Кастилия Ла Манча,  Рибера дель Хука",
"Вино Tomai, Busuioaca Cabernet 0.75 л","Красное,  Полусладкое",Каберне Совиньон,"Молдавия,  Гагаузия",
Вино Качабель Каберне Совиньон 0.75 л,"Красное,  Сухое",Каберне Совиньон,"Крым,  Севастополь",
Вино Maison du Soleil Merlot 0.75 л,"Красное,  Сухое",Мерло,Франция,
"Вино Lambouri, Idalion Red 0.75 л","Красное,  Сухое","Офтальмо,  Мавро,  Матаро",Кипр,
Вино Mastio della Loggia Montepulciano d'Abruzzo DOC 0.75 л,"Красное,  Сухое","Италия,  Абруццо,  Монтепульчано д'Абруццо",,
"Вино Plaimont, Les Halles Cotes de Gascogne Rouge IGP 2018 0.75 л","Красное,  Сухое","Каберне Фран,  Мерло,  Каберне Совиньон","Франция,  Юго-запад Франции,  Гасконь",
"Вино Ogier, Auguste Bessac, Cotes du Rhone AOC 0.75 л","Красное,  Сухое","Гренаш,  Кариньяно,  Мурведр,  Сенсо,  Сира,  Гарнача","Франция,  Долина Роны,  Кот-дю-Рон",
"Вино Badel 1862, Plavac 50° 0.75 л","Красное,  Полусухое",Плавац Мали,"Хорватия,  Далматинское побережье",
Вино French Cliche Syrah-Grenache 1 л,"Красное,  Сухое","Гарнача,  Гренаш,  Сира",Франция,
"Вино Finca Flichman, Misterio Malbec 0.75 л","Красное,  Полусухое",Мальбек,"Аргентина,  Мендоса",
"Вино Finca Flichman, Misterio Red Blend 0.75 л","Красное,  Полусухое","Бонарда,  Мальбек,  Сира","Аргентина,  Мендоса",
"Вино Casa de la Ermita, Tinto Crianza, Jumilla DO 0.375 л","Красное,  Сухое","Монастрель,  Каберне Совиньон,  Сира","Испания,  Мурсия,  Хумилья",
"Вино Casa de la Ermita, Seleccion Rey Limitada, Jumilla DO 0.75 л","Красное,  Сухое","Монастрель,  Пти Вердо,  Каберне Совиньон","Испания,  Мурсия,  Хумилья",
"Вино SO Malbec, Cahors AOC 0.75 л","Красное,  Сухое",Мальбек,"Франция,  Юго-запад Франции,  Каор",
"Вино Villa Vittoria, Grande Amore Primitivo, Puglia IGT 0.75 л","Красное,  Сухое",Примитиво,"Италия,  Апулия,  Пулья",
Вино Signos Malbec 0.75 л,"Красное,  Полусухое",Мальбек,"Аргентина,  Сан-Хуан,  Валле де Тулум",
"Вино Chateau Le Raz, Bergerac AOC Rouge 2013 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон и Каберне Фран,  Мальбек","Франция,  Бордо",
"Вино Botter, San Andrea Rosso Semi-sweet 0.75 л","Красное,  Полусладкое",Красные сорта винограда,"Италия,  Венето,  Венеция",
Вино Cordero Rosso Amabile 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,Италия,
Вино Gato Negro Cabernet Sauvignon 2020 0.75 л,"Красное,  Полусухое","Сира,  Каберне Совиньон","Чили,  Центральная Долина",
Вино Steakwine Cabernet Sauvignon (Black Label) 2019 0.75 л,"Красное,  Полусухое",Каберне Совиньон,"Аргентина,  Мендоса",
"Вино Le Grand Noir GSM, Pays d'Oc IGP 2017 0.75 л","Красное,  Полусухое","Сира,  Гарнача,  Гренаш,  Мурведр","Франция,  Лангедок-Руссийон,  Минервуа",
